date,day,month,year,week,quarter,month_name,year_month
2021-07-23,23,7,2021,29,3,July,2021-07
2021-07-24,24,7,2021,29,3,July,2021-07
2021-07-25,25,7,2021,29,3,July,2021-07
2021-07-26,26,7,2021,30,3,July,2021-07
2021-07-27,27,7,2021,30,3,July,2021-07
2021-07-28,28,7,2021,30,3,July,2021-07
2021-07-29,29,7,2021,30,3,July,2021-07
2021-07-30,30,7,2021,30,3,July,2021-07
2021-07-31,31,7,2021,30,3,July,2021-07
2021-08-01,1,8,2021,30,3,August,2021-08
2021-08-02,2,8,2021,31,3,August,2021-08
2021-08-03,3,8,2021,31,3,August,2021-08
2021-08-04,4,8,2021,31,3,August,2021-08
2021-08-05,5,8,2021,31,3,August,2021-08
2021-08-06,6,8,2021,31,3,August,2021-08
2021-08-07,7,8,2021,31,3,August,2021-08
2021-08-08,8,8,2021,31,3,August,2021-08
2021-08-09,9,8,2021,32,3,August,2021-08
2021-08-10,10,8,2021,32,3,August,2021-08
2021-08-11,11,8,2021,32,3,August,2021-08
2021-08-12,12,8,2021,32,3,August,2021-08
2021-08-13,13,8,2021,32,3,August,2021-08
2021-08-14,14,8,2021,32,3,August,2021-08
2021-08-15,15,8,2021,32,3,August,2021-08
2021-08-16,16,8,2021,33,3,August,2021-08
2021-08-17,17,8,2021,33,3,August,2021-08
2021-08-18,18,8,2021,33,3,August,2021-08
2021-08-19,19,8,2021,33,3,August,2021-08
2021-08-20,20,8,2021,33,3,August,2021-08
2021-08-21,21,8,2021,33,3,August,2021-08
2021-08-22,22,8,2021,33,3,August,2021-08
2021-08-23,23,8,2021,34,3,August,2021-08
2021-08-24,24,8,2021,34,3,August,2021-08
2021-08-25,25,8,2021,34,3,August,2021-08
2021-08-26,26,8,2021,34,3,August,2021-08
2021-08-27,27,8,2021,34,3,August,2021-08
2021-08-28,28,8,2021,34,3,August,2021-08
2021-08-29,29,8,2021,34,3,August,2021-08
2021-08-30,30,8,2021,35,3,August,2021-08
2021-08-31,31,8,2021,35,3,August,2021-08
2021-09-01,1,9,2021,35,3,September,2021-09
2021-09-02,2,9,2021,35,3,September,2021-09
2021-09-03,3,9,2021,35,3,September,2021-09
2021-09-04,4,9,2021,35,3,September,2021-09
2021-09-05,5,9,2021,35,3,September,2021-09
2021-09-06,6,9,2021,36,3,September,2021-09
2021-09-07,7,9,2021,36,3,September,2021-09
2021-09-08,8,9,2021,36,3,September,2021-09
2021-09-09,9,9,2021,36,3,September,2021-09
2021-09-10,10,9,2021,36,3,September,2021-09
2021-09-11,11,9,2021,36,3,September,2021-09
2021-09-12,12,9,2021,36,3,September,2021-09
2021-09-13,13,9,2021,37,3,September,2021-09
2021-09-14,14,9,2021,37,3,September,2021-09
2021-09-15,15,9,2021,37,3,September,2021-09
2021-09-16,16,9,2021,37,3,September,2021-09
2021-09-17,17,9,2021,37,3,September,2021-09
2021-09-18,18,9,2021,37,3,September,2021-09
2021-09-19,19,9,2021,37,3,September,2021-09
2021-09-20,20,9,2021,38,3,September,2021-09
2021-09-21,21,9,2021,38,3,September,2021-09
2021-09-22,22,9,2021,38,3,September,2021-09
2021-09-23,23,9,2021,38,3,September,2021-09
2021-09-24,24,9,2021,38,3,September,2021-09
2021-09-25,25,9,2021,38,3,September,2021-09
2021-09-26,26,9,2021,38,3,September,2021-09
2021-09-27,27,9,2021,39,3,September,2021-09
2021-09-28,28,9,2021,39,3,September,2021-09
2021-09-29,29,9,2021,39,3,September,2021-09
2021-09-30,30,9,2021,39,3,September,2021-09
2021-10-01,1,10,2021,39,4,October,2021-10
2021-10-02,2,10,2021,39,4,October,2021-10
2021-10-03,3,10,2021,39,4,October,2021-10
2021-10-04,4,10,2021,40,4,October,2021-10
2021-10-05,5,10,2021,40,4,October,2021-10
